source_column,match_column
Cancer_Data.symmetry_worst,Breast_cancer_dataset.symmetry_worst
Cancer_Data.concave points_worst,Breast_cancer_dataset.concave points_worst
Cancer_Data.concavity_worst,Breast_cancer_dataset.concavity_worst
Cancer_Data.compactness_worst,Breast_cancer_dataset.compactness_worst
Cancer_Data.smoothness_worst,Breast_cancer_dataset.smoothness_worst
Cancer_Data.area_worst,Breast_cancer_dataset.area_worst
Cancer_Data.perimeter_worst,Breast_cancer_dataset.perimeter_worst
Cancer_Data.texture_worst,Breast_cancer_dataset.texture_worst
Cancer_Data.radius_worst,Breast_cancer_dataset.radius_worst
Cancer_Data.fractal_dimension_se,Breast_cancer_dataset.fractal_dimension_se
Cancer_Data.symmetry_se,Breast_cancer_dataset.symmetry_se
Cancer_Data.concave points_se,Breast_cancer_dataset.concave points_se
Cancer_Data.concavity_se,Breast_cancer_dataset.concavity_se
Cancer_Data.compactness_se,Breast_cancer_dataset.compactness_se
Cancer_Data.smoothness_se,Breast_cancer_dataset.smoothness_se
Cancer_Data.area_se,
Cancer_Data.perimeter_se,Breast_cancer_dataset.perimeter_se
Cancer_Data.texture_se,Breast_cancer_dataset.texture_se
Cancer_Data.radius_se,
Cancer_Data.fractal_dimension_mean,Breast_cancer_dataset.fractal_dimension_mean
Cancer_Data.symmetry_mean,Breast_cancer_dataset.symmetry_mean
Cancer_Data.concave points_mean,Breast_cancer_dataset.concave points_mean
Cancer_Data.concavity_mean,Breast_cancer_dataset.concavity_mean
Cancer_Data.compactness_mean,Breast_cancer_dataset.compactness_mean
Cancer_Data.smoothness_mean,Breast_cancer_dataset.smoothness_mean
Cancer_Data.area_mean,
Cancer_Data.perimeter_mean,Breast_cancer_dataset.perimeter_mean
Cancer_Data.texture_mean,Breast_cancer_dataset.texture_mean
Cancer_Data.radius_mean,Breast_cancer_dataset.radius_mean
Cancer_Data.diagnosis,
Cancer_Data.id,
student_data.G3,
student_data.G2,
student_data.G1,
student_data.absences,
student_data.health,
student_data.Walc,
student_data.Dalc,
student_data.goout,
student_data.freetime,
student_data.famrel,
student_data.romantic,
student_data.internet,student_info.internet_access
student_data.higher,
student_data.nursery,
student_data.activities,student_info.extra_activities
student_data.paid,
student_data.famsup,
student_data.schoolsup,
student_data.failures,
student_data.studytime,student_info.study_hours
student_data.traveltime,
student_data.guardian,
student_data.reason,
student_data.Fjob,
student_data.Mjob,
student_data.Fedu,
student_data.Medu,
student_data.Pstatus,
student_data.famsize,
student_data.address,
student_data.age,student_info.age
student_data.sex,student_info.gender
student_data.school,
